b0,b1,n,b0hat,b1hat,coverage
0,0,10,-0.001450479,-0.009248292,0.943
0,0,100,-0.002089768,-0.0002805726,0.947
0,0,1000,0.002173708,-0.003866909,0.944
0,10,10,-0.001450479,9.990752,0.943
0,10,100,-0.002089768,9.999719,0.947
0,10,1000,0.002173708,9.996133,0.944
20,0,10,19.99855,-0.009248292,0.943
20,0,100,19.99791,-0.0002805726,0.947
20,0,1000,20.00217,-0.003866909,0.944
20,10,10,19.99855,9.990752,0.943
20,10,100,19.99791,9.999719,0.947
20,10,1000,20.00217,9.996133,0.944

b0,b1,n,b0hat,b1hat,coverage
0,0,10,-0.01775346,0.03411145,0.945
0,0,100,0.005403449,-0.01391912,0.961
0,0,1000,0.008585106,-0.01645718,0.95
0,10,10,-0.01775346,10.03411,0.945
0,10,100,0.005403449,9.986081,0.961
0,10,1000,0.008585106,9.983543,0.95
20,0,10,19.98225,0.03411145,0.945
20,0,100,20.0054,-0.01391912,0.961
20,0,1000,20.00859,-0.01645718,0.95
20,10,10,19.98225,10.03411,0.945
20,10,100,20.0054,9.986081,0.961
20,10,1000,20.00859,9.983543,0.95

b0,b1,n,b0hat,b1hat,coverage
0,0,10,0.002824435,-0.01305962,0.93
0,0,100,-0.001492627,0.0004276982,0.929
0,0,1000,0.0006814163,-0.001772067,0.938
0,10,10,0.002824435,9.98694,0.93
0,10,100,-0.001492627,10.00043,0.929
0,10,1000,0.0006814163,9.998228,0.938
20,0,10,20.00282,-0.01305962,0.93
20,0,100,19.99851,0.0004276982,0.929
20,0,1000,20.00068,-0.001772067,0.938
20,10,10,20.00282,9.98694,0.93
20,10,100,19.99851,10.00043,0.929
20,10,1000,20.00068,9.998228,0.938
